clubId,clubName,id,leagueId,leagueName,name,nationId,nationName,positions,priceText,qualityAndRarity,rating
5,Chelsea,48830,13,Chelsea,"Mason Mount",14,England,CAM;RW,6.95K," wc_star gold rare",88
10,"Manchester City",48828,13,"Manchester City","Nathan Aké",34,Netherlands,CB;LB,2.15K," wc_star gold rare",87
9,Liverpool,26350,13,Liverpool,"Diogo Jota",38,Portugal,CF;ST;LW,8.9K,"  gold rare",85
10,"Manchester City",26645,13,"Manchester City","Phil Foden",14,England,LW;LM;CAM;CF,8.9K,"  gold rare",85
10,"Manchester City",26755,13,"Manchester City","Ilkay Gündogan",21,Germany,CM;CDM,8.9K,"  gold rare",85
95,"Leicester City",26757,13,"Leicester City","Jamie Vardy",14,England,ST;CF,8.9K,"  gold rare",85
5,Chelsea,26758,13,Chelsea,Aubameyang,115,Gabon,ST;CF,9.1K,"  gold rare",85
1,Arsenal,51840,13,Arsenal,Jorginho,27,Italy,CM,9.1K,"  gold rare",85
10,"Manchester City",26296,13,"Manchester City","Jack Grealish",14,England,LW;LM;CAM,3.4K,"  gold rare",84
5,Chelsea,26298,13,Chelsea,"Kai Havertz",21,Germany,CAM;CF;ST,3.8K,"  gold rare",84
5,Chelsea,26342,13,Chelsea,"Mason Mount",14,England,CAM;RW,3.4K,"  gold rare",84
5,Chelsea,26343,13,Chelsea,"Mateo Kovacic",10,Croatia,CM,3.5K,"  gold rare",84
5,Chelsea,26344,13,Chelsea,"Reece James",14,England,RWB;RB,3.5K,"  gold rare",84
9,Liverpool,26351,13,Liverpool,"Joel Matip",103,Cameroon,CB,3.2K,"  gold rare",84
9,Liverpool,26352,13,Liverpool,"Luis Díaz",56,Colombia,LW;LM,3.6K,"  gold rare",84
11,"Manchester Utd",26502,13,"Manchester Utd","Jadon Sancho",14,England,LW;LM;RW,3.5K,"  gold rare",84
1,Arsenal,26504,13,Arsenal,"Martin Ødegaard",36,Norway,CAM;CM,4.9K,"  gold rare",84
95,"Leicester City",26730,13,"Leicester City","Youri Tielemans",7,Belgium,CM;CDM,3.4K,"  gold rare",84
19,"West Ham",26759,13,"West Ham","Declan Rice",14,England,CDM,3.4K,"  gold rare",84
18,Spurs,26764,13,Spurs,"Ivan Perišić",10,Croatia,LM;LWB;LW,3.5K,"  gold rare",84
1,Arsenal,26766,13,Arsenal,"Thomas Partey",117,Ghana,CDM;CM,4.3K,"  gold rare",84
